ID	ddm1_f2_1	ddm1_f3_1	ddm1_f4_1	ddm1_f4_2	ddm1_f5_1	h1_f4_1	h1ddm1_f10_1	h1ddm1_f11_1	h1ddm1_f11_2	h1ddm1_f2_1	h1ddm1_f2_2	h1ddm1_f3_1	h1ddm1_f3_2	h1ddm1_f3_3	h1ddm1_f4_1	h1ddm1_f4_2	h1ddm1_f5_1	h1ddm1_f5_2	h1ddm1_f6_1	h1ddm1_f6_2	h1ddm1_f7_1	h1ddm1_f7_2	h1ddm1_f8_1	h1ddm1_f8_2	h1ddm1_f9_1	h1ddm1_f9_2	h1ddm1cmt2_f2_1	h1ddm1cmt2_f3_1	h1ddm1cmt2_f3_2	h1ddm1cmt2_f4_1	h1ddm1cmt2_f4_2	h1ddm1cmt2_f4_3	h1ddm1cmt2_f5_1	h1ddm1cmt2_f5_2	h1ddm1cmt2_f5_3	h1ddm1cmt2_f6_1	h1ddm1cmt2_f6_2	h1ddm1cmt2_f7_1	h1ddm1cmt2_f7_2	h1ddm1cmt3_f3_1	h1ddm1cmt3_f4_1	h1ddm1cmt3_f4_2	h1ddm1cmt3_f4_3	h1ddm1cmt3_f5_1	h1ddm1cmt3_f5_2	h1ddm1cmt3_f6_1	h1ddm1cmt3_f6_2	h1ddm1cmt3_f7_1	h1ddm1cmt3_f7_2	h1ddm1drm2_f2_1	h1ddm1drm2_f3_1	h1ddm1drm2_f3_2	h1ddm1drm2_f4_1	h1ddm1drm2_f4_2	h1ddm1drm2_f5_1	h1ddm1drm2_f5_2	h1ddm1drm2_f6_1	h1ddm1drm2_f6_2	h1ddm1drm2_f7_1	h1ddm1drm2_f7_2	wt_f3_1	wt_f4_1	met1_f3_1
AT5TE39940	0.131147541	0.066666667	0.114349098	0.036334913	0.051282051	0.942418426	0.537131882	0.551696922	0.523148148	0.696850394	0.657735523	0.585969739	0.566287879	0.575961538	0.646630237	0.587184874	0.521400778	0.513385827	0.495726496	0.545009785	0.501895375	0.581730769	0.503676471	0.512537613	0.559808612	0.528884462	0.681214421	0.545155993	0.626736111	0.630681818	0.577689243	0.573355818	0.563218391	0.394945848	0.548571429	0.521459227	0.461538462	0.497435897	0.595238095	0.615384615	0.57635468	0.594871795	0.62063228	0.363636364	0.418831169	0.506993007	0.480392157	0.483033932	0.469635628	0.644787645	0.475	0.561497326	0.378267974	0.304347826	0.241134752	0.323770492	0.219072165	0.242677824	0.233618234	0.206051873	0.739047619	0.735555556	0.009009009
AT5TE40000	0.211434736	0.188273265	0.32225783	0.135614849	0.179118774	0.945325314	0.530455267	0.541934708	0.530017657	0.656010488	0.650927257	0.586739781	0.590133125	0.578411708	0.560558189	0.546167619	0.540828402	0.49475414	0.549295775	0.534187429	0.518446602	0.493732194	0.486674016	0.521997376	0.547283923	0.535256972	0.682211673	0.590958165	0.603687206	0.568172165	0.578441027	0.548788561	0.574446461	0.430002904	0.548598522	0.517235719	0.505800464	0.52448478	0.51660799	0.62335958	0.568703776	0.544	0.594094094	0.456264237	0.491732384	0.554448136	0.487883108	0.505362319	0.522954679	0.641046719	0.485200846	0.506119226	0.416686646	0.37767094	0.33059789	0.333755177	0.287292818	0.306376183	0.288823776	0.286083273	0.832166608	0.806463132	0.009778487
AT5TE40080	0.271428571	0.27	0.359505647	0.143654453	0.216527867	0.939216404	0.564002118	0.594510681	0.617880795	0.689032806	0.685941724	0.621881223	0.595375723	0.601281269	0.623475197	0.59329257	0.57524077	0.485005767	0.57027027	0.568918919	0.564818617	0.584803256	0.491378158	0.561073411	0.583020119	0.580314811	0.723058029	0.622146119	0.628240624	0.628108733	0.579440643	0.542333505	0.631069554	0.470711079	0.580721467	0.543205911	0.575376884	0.528122415	0.498119122	0.640034364	0.423895254	0.419217687	0.481997372	0.370272647	0.369565217	0.385843164	0.407944996	0.390673255	0.39376947	0.70148368	0.53689168	0.609183673	0.419754664	0.409137056	0.326775956	0.334375	0.355573974	0.304671632	0.308284292	0.255314757	0.844328892	0.832170543	0.005797101
AT5TE40100	0.131399317	0.101654846	0.082274066	0.039190898	0.039443155	0.949020392	0.195047453	0.193270997	0.195881114	0.535778589	0.516402051	0.410509442	0.415927917	0.423036466	0.405774715	0.375770168	0.215372596	0.2778721	0.394839719	0.330052016	0.417354146	0.321963586	0.237919261	0.280218657	0.247572426	0.275312213	0.539177277	0.446294754	0.421575649	0.39437043	0.401235267	0.337302326	0.436407737	0.328588285	0.394125384	0.359263581	0.346994536	0.364814353	0.419600174	0.557236304	0.455235205	0.451245251	0.496750645	0.425620743	0.469107981	0.424005682	0.496953873	0.479546954	0.489869609	0.542007524	0.404856832	0.423897582	0.281079292	0.265089127	0.239915074	0.226365915	0.21223355	0.171499124	0.170920106	0.172042177	0.856115108	0.837592593	0.006463642
AT5TE40120	0.103571429	0.049773756	0.063383906	0.046756529	0.038291605	0.949099452	0.243180306	0.207996504	0.21719457	0.536443732	0.506931887	0.309192739	0.315789474	0.456914345	0.481292517	0.39195231	0.226390686	0.324701195	0.334140436	0.327851173	0.281772152	0.298290598	0.305044183	0.289127255	0.293554328	0.331312018	0.569249542	0.385650224	0.364216054	0.382208315	0.3122957	0.387308534	0.426878467	0.395092227	0.37566393	0.370323399	0.312977099	0.335384615	0.410399257	0.497109827	0.561170213	0.4390681	0.501013377	0.35767098	0.222896791	0.475	0.337306317	0.416061706	0.418181818	0.533384893	0.442434211	0.411016949	0.350689491	0.240812379	0.304990758	0.253225036	0.206796819	0.192820133	0.194425789	0.19821495	0.847378277	0.834488735	0.009169364
AT5TE40170	0.203319502	0.078066914	0.175378603	0.055780933	0.105263158	0.931578947	0.448438169	0.505955463	0.541237113	0.612563044	0.587150127	0.5007768	0.489827856	0.516425756	0.491480996	0.5	0.508893709	0.433981576	0.481395349	0.503674392	0.446835443	0.432876712	0.462527964	0.458474004	0.484668645	0.519644181	0.604580153	0.567385445	0.555214724	0.518564356	0.490988191	0.550951848	0.534810127	0.361046959	0.457215837	0.501582278	0.454545455	0.486068111	0.487623762	0.667664671	0.642384106	0.564202335	0.578076525	0.5	0.556122449	0.581325301	0.53030303	0.603107345	0.543814433	0.542757417	0.472303207	0.510273973	0.329423265	0.334916865	0.240343348	0.301384452	0.28342246	0.28548124	0.245333333	0.224740321	0.810193322	0.749271137	0.024711697
AT5TE40180	0.121447028	0.121771218	0.157253413	0.06779661	0.083841463	0.930769231	0.309012876	0.331233123	0.320552147	0.441109205	0.429027679	0.371929825	0.416175232	0.350630096	0.316953317	0.317769719	0.331849136	0.289679715	0.351156069	0.310097169	0.306114551	0.232258065	0.323994039	0.298193881	0.357345434	0.343674261	0.474980754	0.404400607	0.379897785	0.364590164	0.357429719	0.353916524	0.372622156	0.218907866	0.359333333	0.290423862	0.287958115	0.315972222	0.32885906	0.467924528	0.463195691	0.369515012	0.408602151	0.310828025	0.3375	0.445238095	0.325342466	0.333558406	0.348271447	0.457785467	0.284090909	0.323529412	0.236363636	0.167114094	0.188405797	0.162921348	0.166347992	0.143386243	0.160973085	0.166023166	0.752566735	0.734357849	0.025974026
AT5TE40195	0.038314176	0.074766355	0.076558607	0.024077047	0.060846561	0.953010279	0.327149483	0.322844299	0.344907407	0.505380477	0.498161765	0.416512059	0.412371134	0.424635332	0.35546875	0.381263617	0.313117066	0.319129646	0.342490842	0.322286263	0.312312312	0.284253579	0.327374302	0.391086351	0.36101083	0.380512091	0.571428571	0.416015625	0.428985507	0.413246269	0.416545718	0.331594635	0.394208314	0.287583893	0.375	0.310756972	0.343023256	0.281345566	0.341290893	0.463104326	0.50304878	0.473372781	0.388544892	0.335034014	0.351666667	0.359693878	0.430735931	0.313419118	0.324829932	0.476650564	0.401069519	0.36875	0.282911944	0.224607762	0.177358491	0.212241653	0.147766323	0.15496368	0.151421983	0.159090909	0.732352941	0.803094233	0.012716763
AT5TE40215	0.070048309	0.05	0.065449169	0.022134561	0.058548009	0.958333333	0.460381356	0.490937842	0.473684211	0.579054513	0.578350977	0.50267646	0.497288923	0.514525994	0.533566162	0.463085714	0.436190277	0.414717627	0.444257703	0.438616071	0.427156254	0.448083067	0.463752408	0.452377469	0.497825589	0.50394633	0.628458498	0.526589242	0.518163967	0.519749387	0.507231094	0.484104046	0.533394891	0.338315748	0.496481846	0.466710613	0.454545455	0.481985294	0.474339036	0.594736842	0.559370529	0.548494983	0.58569425	0.352112676	0.407549584	0.528502415	0.428805237	0.493280058	0.470963173	0.607530775	0.44963145	0.477867203	0.306194475	0.29160105	0.25460455	0.272487407	0.252678242	0.269643624	0.175885396	0.214637146	0.841813602	0.819611956	0.006436782
AT5TE40260	0.165384615	0.115879828	0.157774002	0.057142857	0.091324201	0.95335277	0.43	0.432736573	0.447058824	0.572431958	0.551633298	0.482075976	0.502493766	0.445079365	0.50059453	0.450867052	0.420192711	0.38284251	0.444444444	0.420289855	0.431751611	0.387755102	0.402303754	0.440699935	0.434782609	0.43358396	0.635916359	0.481840194	0.512396694	0.457323498	0.452954048	0.493765586	0.497703789	0.338869118	0.46012931	0.399503722	0.421052632	0.429155313	0.480243161	0.636923077	0.639175258	0.571428571	0.563667233	0.452138493	0.490310078	0.511945392	0.412345679	0.488512696	0.444668008	0.554268293	0.45014245	0.457692308	0.330847096	0.229090909	0.21399177	0.225	0.222222222	0.21570066	0.206231454	0.210918114	0.823795181	0.747813411	0.010324484
